Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Argentina,ARG,1965,0.0,0.0,0.0,12251163.0
Argentina,ARG,1966,0.0,0.0,0.0,12409302.0
Argentina,ARG,1967,0.0,0.0,0.0,12706977.0
Argentina,ARG,1968,0.0,0.0,0.0,14976745.0
Argentina,ARG,1969,0.0,0.0,0.0,13432558.0
Argentina,ARG,1970,0.05624185,0.0,0.0,15571272.0
Argentina,ARG,1971,0.05899074,0.0,0.0,15461483.0
Argentina,ARG,1972,0.07602739,0.0,0.0,15026463.0
Argentina,ARG,1973,0.05997025,0.0,0.0,29974296.0
Argentina,ARG,1974,0.06100323,0.0,0.0,4994663.0
Argentina,ARG,1975,0.063990325,0.0,0.0,51947746.0
Argentina,ARG,1976,0.060962547,0.0,0.0,5014902.0
Argentina,ARG,1977,0.064003065,0.0,0.0,57667804.0
Argentina,ARG,1978,0.06397281,0.0,0.0,77466183.0
Argentina,ARG,1979,0.09498376,0.0,0.0,10656913.0
Argentina,ARG,1980,0.09901763,0.0,0.0,15140881.0
Argentina,ARG,1981,0.08701801,0.0,0.0,14684794.0
Argentina,ARG,1982,0.1149734,0.0,0.0,17592196.0
Argentina,ARG,1983,0.15497561,0.0,0.0,1841851.0
Argentina,ARG,1984,0.11498845,0.0,0.0,19877867.0
Argentina,ARG,1985,0.12000641,0.0,0.0,20653124.0
Argentina,ARG,1986,0.123990245,0.0,0.0,21030247.0
Argentina,ARG,1987,0.10598629,0.0,0.0,21912518.0
Argentina,ARG,1988,0.12296129,0.0,0.0,15259144.0
Argentina,ARG,1989,0.10600155,0.0,0.0,13187393.0
Argentina,ARG,1990,0.13302182,0.0,0.0,17713175.0
Argentina,ARG,1991,0.1310081,0.0,0.0,15869253.0
Argentina,ARG,1992,0.12998593,0.0,0.0,1916509.0
Argentina,ARG,1993,0.09599508,0.0,0.0,23768307.0
Argentina,ARG,1994,0.099004395,0.0,0.0,27286676.0
Argentina,ARG,1995,0.119016126,0.0,0.0,26503681.0
Argentina,ARG,1996,0.22302064,0.0,0.009618,22471685.0
Argentina,ARG,1997,0.17875852,0.0,0.014592,27924665.0
Argentina,ARG,1998,0.20689325,1.7e-05,0.032541,26475504.0
Argentina,ARG,1999,0.26199996,2.6e-05,0.034781,21396791.0
Argentina,ARG,2000,0.3860283,3.6e-05,0.034758,28575241.0
Argentina,ARG,2001,0.36299825,4.3e-05,0.049361,36580173.0
Argentina,ARG,2002,0.5299802,4.7e-05,0.073405,35778835.0
Argentina,ARG,2003,0.88059855,6.5e-05,0.077954,33800575.0
Argentina,ARG,2004,0.86751235,7e-05,0.072446,30462402.0
Argentina,ARG,2005,0.9164998,8.1e-05,0.07171966,34216137.0
Argentina,ARG,2006,1046309.0,9e-05,0.06964,38015213.0
Argentina,ARG,2007,10708514.0,0.0001089,0.061593,3122015.0
Argentina,ARG,2008,12059801.0,0.0001437,0.04195108,31199696.0
Argentina,ARG,2009,11889358.0,7.6084e-05,0.036831528,34618187.0
Argentina,ARG,2010,14423598.0,8.589e-05,0.025351606,3335991.0
Argentina,ARG,2011,14191314.0,0.001614,0.02659055,3118693.0
Argentina,ARG,2012,1484553.0,0.008172967,0.369862,291644.0
Argentina,ARG,2013,16066635.0,0.015074079,0.45335487,32771378.0
Argentina,ARG,2014,1482859.0,0.015944,0.619491,32416695.0
Argentina,ARG,2015,1517351.0,0.014683,0.593335,3233747.0
Argentina,ARG,2016,11388094.0,0.014273,0.547359,29752789.0
Argentina,ARG,2017,13890371.0,0.016417,0.611567,31594284.0
Argentina,ARG,2018,15898329.0,0.10813,1412743.0,32278667.0
Argentina,ARG,2019,16499021.0,0.79969794,49959664.0,27504503.0
Argentina,ARG,2020,2264699.0,1344358.0,9410639.0,23669312.0
Argentina,ARG,2021,21038966.0,21955633.0,12937551.0,19597536.0
Brazil,BRA,1965,0.0,0.0,0.0,25515.0
Brazil,BRA,1966,0.0,0.0,0.0,27906.0
Brazil,BRA,1967,0.0,0.0,0.0,29189.0
Brazil,BRA,1968,0.0,0.0,0.0,30.55
Brazil,BRA,1969,0.0,0.0,0.0,32692.0
Brazil,BRA,1970,0.5146915,0.0,0.0,39801.0
Brazil,BRA,1971,0.63339525,0.0,0.0,43199.0
Brazil,BRA,1972,0.7165702,0.0,0.0,50681.0
Brazil,BRA,1973,0.7508004,0.0,0.0,57.89
Brazil,BRA,1974,0.7851518,0.0,0.0,65679.0
Brazil,BRA,1975,0.86717755,0.0,0.0,72287.0
Brazil,BRA,1976,0.86433774,0.0,0.0,82913.0
Brazil,BRA,1977,11168455.0,0.0,0.0,93.48
Brazil,BRA,1978,13319441.0,0.0,0.0,102746.0
Brazil,BRA,1979,17760195.0,0.0,0.0,116.58
Brazil,BRA,1980,18055083.0,0.0,0.0,128907.0
Brazil,BRA,1981,18736229.0,0.0,0.0,130765.0
Brazil,BRA,1982,21784744.0,0.0,0.0,141132.0
Brazil,BRA,1983,29844549.0,0.0,0.0,151475.0
Brazil,BRA,1984,28516788.0,0.0,0.0,166593.0
Brazil,BRA,1985,30671256.0,0.0,0.0,178375.0
Brazil,BRA,1986,31939325.0,0.0,0.0,182419.0
Brazil,BRA,1987,35656974.0,0.0,0.0,185.6
Brazil,BRA,1988,3339784.0,0.0,0.0,199093.0
Brazil,BRA,1989,34031622.0,0.0,0.0,204.69
Brazil,BRA,1990,38590624.0,0.0,0.0,206708.0
Brazil,BRA,1991,39996126.0,0.0,0.0,217782.0
Brazil,BRA,1992,4929361.0,0.0,0.0,223343.0
Brazil,BRA,1993,49839373.0,0.0,0.0,235065.0
Brazil,BRA,1994,53882236.0,0.0,0.0,242705.0
Brazil,BRA,1995,55937405.0,0.0,0.0,253905.0
Brazil,BRA,1996,675271.0,0.0,0.002,265769.0
Brazil,BRA,1997,7378951.0,0.0,0.004,278972.0
Brazil,BRA,1998,7505233.0,0.0,0.005,291469.0
Brazil,BRA,1999,8376002.0,0.0,0.002,293.0
Brazil,BRA,2000,7855363.0,0.0,0.001,304403.0
Brazil,BRA,2001,8990407.0,0.0,0.0349,267876.0
Brazil,BRA,2002,10226147.0,0.0,0.061,286092.0
Brazil,BRA,2003,11894463.0,0.0,0.061,305616.0
Brazil,BRA,2004,12475056.0,0.0,0.061,3207969.0
Brazil,BRA,2005,135909395.0,0.0,0.0929,33745667.0
Brazil,BRA,2006,14845659.0,0.0,0.237,34880545.0
Brazil,BRA,2007,18063444.0,0.0,0.66278183,37401514.0
Brazil,BRA,2008,19786257.0,0.0,1183.0,3695564.0
Brazil,BRA,2009,22875872.0,0.0,1238.0,39098807.0
Brazil,BRA,2010,31942375.0,0.0,2176558.0,40328983.0
Brazil,BRA,2011,3262904.0,0.0,2704769.0,42833292.0
Brazil,BRA,2012,3576567.0,0.00098,5.05,41534216.0
Brazil,BRA,2013,40971848.0,0.004793593,6575863.0,390992.0
Brazil,BRA,2014,4707918.0,0.016081803,12210252.0,37343906.0
Brazil,BRA,2015,4988032.0,0.05891741,21625702.0,3597428.0
Brazil,BRA,2016,51334698.0,0.08526059,33488873.0,38091095.0
Brazil,BRA,2017,52912106.0,0.8318134,42373257.0,37090646.0
Brazil,BRA,2018,54382233.0,34614348.0,4847514.0,38897107.0
Brazil,BRA,2019,54920876.0,6654579.0,55985622.0,39787704.0
Brazil,BRA,2020,58741848.0,10748342.0,57050705.0,3963812.0
Brazil,BRA,2021,54959217.0,16752281.0,7228597.0,36281845.0
Chile,CHL,1965,0.0,0.0,0.0,3954.0
Chile,CHL,1966,0.0,0.0,0.0,4168.0
Chile,CHL,1967,0.0,0.0,0.0,4255.0
Chile,CHL,1968,0.0,0.0,0.0,3565.0
Chile,CHL,1969,0.0,0.0,0.0,4024.0
Chile,CHL,1970,0.0,0.0,0.0,4307.0
Chile,CHL,1971,0.066,0.0,0.0,4809.0
Chile,CHL,1972,0.057,0.0,0.0,5.73
Chile,CHL,1973,0.051,0.0,0.0,5595.0
Chile,CHL,1974,0.046,0.0,0.0,6364.0
Chile,CHL,1975,0.051,0.0,0.0,6388.0
Chile,CHL,1976,0.073,0.0,0.0,6599.0
Chile,CHL,1977,0.08,0.0,0.0,6969.0
Chile,CHL,1978,0.091,0.0,0.0,7251.0
Chile,CHL,1979,0.094,0.0,0.0,7448.0
Chile,CHL,1980,0.105,0.0,0.0,7871.0
Chile,CHL,1981,0.11,0.0,0.0,8.15
Chile,CHL,1982,0.137,0.0,0.0,8914.0
Chile,CHL,1983,0.208,0.0,0.0,9613.0
Chile,CHL,1984,0.201,0.0,0.0,9975.0
Chile,CHL,1985,0.195,0.0,0.0,11.07
Chile,CHL,1986,0.28,0.0,0.0,11.83
Chile,CHL,1987,0.271,0.0,0.0,12823.0
Chile,CHL,1988,0.327,0.0,0.0,12558.0
Chile,CHL,1989,0.321,0.0,0.0,10543.0
Chile,CHL,1990,0.963,0.0,0.0,8941428.0
Chile,CHL,1991,1033.0,0.0,0.0,13135654.0
Chile,CHL,1992,1743.0,0.0,0.0,1674015.0
Chile,CHL,1993,1.75,0.0,0.0,17217321.0
Chile,CHL,1994,1786.0,0.0,0.0,16985472.0
Chile,CHL,1995,1879.0,0.0,0.0,18413738.0
Chile,CHL,1996,1738.0,0.0,0.0,16873468.0
Chile,CHL,1997,1743.0,0.0,0.0,18943148.0
Chile,CHL,1998,1161.0,0.0,0.0,15937255.0
Chile,CHL,1999,1.45,0.0,0.0,13577.0
Chile,CHL,2000,1375.0,0.0,0.0,19081.0
Chile,CHL,2001,1683.0,0.0,0.007,21.68
Chile,CHL,2002,1781.0,0.0,0.007,23187.0
Chile,CHL,2003,1695.0,0.0,0.007,22603.0
Chile,CHL,2004,2031.0,0.0,0.005,20969337.0
Chile,CHL,2005,1.79,0.0,0.007,255755.0
Chile,CHL,2006,1431.0,0.0,0.007,2821505.0
Chile,CHL,2007,2696.0,0.0,0.0112,2233486.0
Chile,CHL,2008,35882213.0,0.0,0.03812314,24266146.0
Chile,CHL,2009,3391682.0,0.0,0.07901422,2517931.0
Chile,CHL,2010,34124773.0,0.0,0.325326,21759474.0
Chile,CHL,2011,4314426.0,0.0,0.33759564,20510006.0
Chile,CHL,2012,59831734.0,0.00034039,0.40838745,20162024.0
Chile,CHL,2013,6896006.0,0.00675656,0.5450756,19907211.0
Chile,CHL,2014,4989873.0,0.458713,14431201.0,23045078.0
Chile,CHL,2015,55661297.0,13601003.0,2114648.0,23621508.0
Chile,CHL,2016,6722216.0,25502636.0,24518394.0,19690727.0
Chile,CHL,2017,74493103.0,38959484.0,36255593.0,21325731.0
Chile,CHL,2018,9157252.0,5118721.0,35878947.0,2336677.0
Chile,CHL,2019,954655.0,6300226.0,4895221.0,21440327.0
Chile,CHL,2020,8741824.0,76148434.0,56023026.0,21720932.0
Chile,CHL,2021,84537115.0,10596327.0,9481755.0,16532999.0
Colombia,COL,1965,0.0,0.0,0.0,35439494.0
Colombia,COL,1966,0.0,0.0,0.0,39372194.0
Colombia,COL,1967,0.0,0.0,0.0,43892536.0
Colombia,COL,1968,0.0,0.0,0.0,48910117.0
Colombia,COL,1969,0.0,0.0,0.0,54379735.0
Colombia,COL,1970,0.0,0.0,0.0,605274.0
Colombia,COL,1971,0.0,0.0,0.0,64234085.0
Colombia,COL,1972,0.0,0.0,0.0,7115021.0
Colombia,COL,1973,0.0,0.0,0.0,77433486.0
Colombia,COL,1974,0.0,0.0,0.0,87920685.0
Colombia,COL,1975,0.189,0.0,0.0,97323.0
Colombia,COL,1976,0.202,0.0,0.0,1022642.0
Colombia,COL,1977,0.192,0.0,0.0,10451812.0
Colombia,COL,1978,0.206,0.0,0.0,1207144.0
Colombia,COL,1979,0.216,0.0,0.0,132593.0
Colombia,COL,1980,0.227,0.0,0.0,1444702.0
Colombia,COL,1981,0.212,0.0,0.0,1426534.0
Colombia,COL,1982,0.231,0.0,0.0,15238536.0
Colombia,COL,1983,0.234,0.0,0.0,15365776.0
Colombia,COL,1984,0.255,0.0,0.0,1714022.0
Colombia,COL,1985,0.267,0.0,0.0,18440771.0
Colombia,COL,1986,0.266,0.0,0.0,21332952.0
Colombia,COL,1987,0.268,0.0,0.0,2324756.0
Colombia,COL,1988,0.274,0.0,0.0,245194.0
Colombia,COL,1989,0.274,0.0,0.0,2678212.0
Colombia,COL,1990,0.274,0.0,0.0,27495852.0
Colombia,COL,1991,0.269,0.0,0.0,2772608.0
Colombia,COL,1992,0.34,0.0,0.0,22280584.0
Colombia,COL,1993,0.389,0.0,0.0,27856392.0
Colombia,COL,1994,0.444,0.0,0.0,3205839.0
Colombia,COL,1995,0.477,0.0,0.0,319894.0
Colombia,COL,1996,0.496,0.0,0.0,35287624.0
Colombia,COL,1997,0.483,0.0,0.0,3147576.0
Colombia,COL,1998,0.532,0.0,0.0,30781685.0
Colombia,COL,1999,0.457,0.0,0.0,33700657.0
Colombia,COL,2000,0.496,0.001835014,0.0,30815718.0
Colombia,COL,2001,0.496,0.00266875,0.0,31632658.0
Colombia,COL,2002,0.491,0.00465125,0.0,33968037.0
Colombia,COL,2003,0.495,0.006405,0.0,3617636.0
Colombia,COL,2004,0.467,0.007951726,0.05199,3833006.0
Colombia,COL,2005,0.503,0.00953125,0.04948,39220886.0
Colombia,COL,2006,0.5197261,0.0,0.06298139,4255789.0
Colombia,COL,2007,0.5071364,0.0,0.049890976,4424198.0
Colombia,COL,2008,0.50934935,0.0,0.053918168,4616088.0
Colombia,COL,2009,10032873.0,0.0,0.057707813,40837364.0
Colombia,COL,2010,11099824.0,0.0,0.03856992,4055746.0
