Entity,Code,Year,Solar (% equivalent primary energy)
Argentina,ARG,1965,0.0
Argentina,ARG,1966,0.0
Argentina,ARG,1967,0.0
Argentina,ARG,1968,0.0
Argentina,ARG,1969,0.0
Argentina,ARG,1970,0.0
Argentina,ARG,1971,0.0
Argentina,ARG,1972,0.0
Argentina,ARG,1973,0.0
Argentina,ARG,1974,0.0
Argentina,ARG,1975,0.0
Argentina,ARG,1976,0.0
Argentina,ARG,1977,0.0
Argentina,ARG,1978,0.0
Argentina,ARG,1979,0.0
Argentina,ARG,1980,0.0
Argentina,ARG,1981,0.0
Argentina,ARG,1982,0.0
Argentina,ARG,1983,0.0
Argentina,ARG,1984,0.0
Argentina,ARG,1985,0.0
Argentina,ARG,1986,0.0
Argentina,ARG,1987,0.0
Argentina,ARG,1988,0.0
Argentina,ARG,1989,0.0
Argentina,ARG,1990,0.0
Argentina,ARG,1991,0.0
Argentina,ARG,1992,0.0
Argentina,ARG,1993,0.0
Argentina,ARG,1994,0.0
Argentina,ARG,1995,0.0
Argentina,ARG,1996,0.0
Argentina,ARG,1997,0.0
Argentina,ARG,1998,7.3034457e-06
Argentina,ARG,1999,1.1056523e-05
Argentina,ARG,2000,1.5225888e-05
Argentina,ARG,2001,1.851931e-05
Argentina,ARG,2002,2.0968526e-05
Argentina,ARG,2003,2.6889687e-05
Argentina,ARG,2004,2.707599e-05
Argentina,ARG,2005,2.9337736e-05
Argentina,ARG,2006,3.0835607e-05
Argentina,ARG,2007,3.5572175e-05
Argentina,ARG,2008,4.5872686e-05
Argentina,ARG,2009,2.4896292e-05
Argentina,ARG,2010,2.6933396e-05
Argentina,ARG,2011,0.00048874883
Argentina,ARG,2012,0.0023722528
Argentina,ARG,2013,0.0041799652
Argentina,ARG,2014,0.004408179
Argentina,ARG,2015,0.003967834
Argentina,ARG,2016,0.0038529567
Argentina,ARG,2017,0.0044105537
Argentina,ARG,2018,0.029088747
Argentina,ARG,2019,0.2264681
Argentina,ARG,2020,0.4008213
Argentina,ARG,2021,0.6025807
Brazil,BRA,1965,0.0
Brazil,BRA,1966,0.0
Brazil,BRA,1967,0.0
Brazil,BRA,1968,0.0
Brazil,BRA,1969,0.0
Brazil,BRA,1970,0.0
Brazil,BRA,1971,0.0
Brazil,BRA,1972,0.0
Brazil,BRA,1973,0.0
Brazil,BRA,1974,0.0
Brazil,BRA,1975,0.0
Brazil,BRA,1976,0.0
Brazil,BRA,1977,0.0
Brazil,BRA,1978,0.0
Brazil,BRA,1979,0.0
Brazil,BRA,1980,0.0
Brazil,BRA,1981,0.0
Brazil,BRA,1982,0.0
Brazil,BRA,1983,0.0
Brazil,BRA,1984,0.0
Brazil,BRA,1985,0.0
Brazil,BRA,1986,0.0
Brazil,BRA,1987,0.0
Brazil,BRA,1988,0.0
Brazil,BRA,1989,0.0
Brazil,BRA,1990,0.0
Brazil,BRA,1991,0.0
Brazil,BRA,1992,0.0
Brazil,BRA,1993,0.0
Brazil,BRA,1994,0.0
Brazil,BRA,1995,0.0
Brazil,BRA,1996,0.0
Brazil,BRA,1997,0.0
Brazil,BRA,1998,0.0
Brazil,BRA,1999,0.0
Brazil,BRA,2000,0.0
Brazil,BRA,2001,0.0
Brazil,BRA,2002,0.0
Brazil,BRA,2003,0.0
Brazil,BRA,2004,0.0
Brazil,BRA,2005,0.0
Brazil,BRA,2006,0.0
Brazil,BRA,2007,0.0
Brazil,BRA,2008,0.0
Brazil,BRA,2009,0.0
Brazil,BRA,2010,0.0
Brazil,BRA,2011,0.0
Brazil,BRA,2012,8.043948e-05
Brazil,BRA,2013,0.0003779034
Brazil,BRA,2014,0.0012321046
Brazil,BRA,2015,0.0046073804
Brazil,BRA,2016,0.006778563
Brazil,BRA,2017,0.06503355
Brazil,BRA,2018,0.26798302
Brazil,BRA,2019,0.5029592
Brazil,BRA,2020,0.84678334
Brazil,BRA,2021,12558651.0
Chile,CHL,1965,0.0
Chile,CHL,1966,0.0
Chile,CHL,1967,0.0
Chile,CHL,1968,0.0
Chile,CHL,1969,0.0
Chile,CHL,1970,0.0
Chile,CHL,1971,0.0
Chile,CHL,1972,0.0
Chile,CHL,1973,0.0
Chile,CHL,1974,0.0
Chile,CHL,1975,0.0
Chile,CHL,1976,0.0
Chile,CHL,1977,0.0
Chile,CHL,1978,0.0
Chile,CHL,1979,0.0
Chile,CHL,1980,0.0
Chile,CHL,1981,0.0
Chile,CHL,1982,0.0
Chile,CHL,1983,0.0
Chile,CHL,1984,0.0
Chile,CHL,1985,0.0
Chile,CHL,1986,0.0
Chile,CHL,1987,0.0
Chile,CHL,1988,0.0
Chile,CHL,1989,0.0
Chile,CHL,1990,0.0
Chile,CHL,1991,0.0
Chile,CHL,1992,0.0
Chile,CHL,1993,0.0
Chile,CHL,1994,0.0
Chile,CHL,1995,0.0
Chile,CHL,1996,0.0
Chile,CHL,1997,0.0
Chile,CHL,1998,0.0
Chile,CHL,1999,0.0
Chile,CHL,2000,0.0
Chile,CHL,2001,0.0
Chile,CHL,2002,0.0
Chile,CHL,2003,0.0
Chile,CHL,2004,0.0
Chile,CHL,2005,0.0
Chile,CHL,2006,0.0
Chile,CHL,2007,0.0
Chile,CHL,2008,0.0
Chile,CHL,2009,0.0
Chile,CHL,2010,0.0
Chile,CHL,2011,0.0
Chile,CHL,2012,0.00022369338
Chile,CHL,2013,0.004364806
Chile,CHL,2014,0.30048275
Chile,CHL,2015,0.8649482
Chile,CHL,2016,15364845.0
Chile,CHL,2017,23112252.0
Chile,CHL,2018,28931642.0
Chile,CHL,2019,34458067.0
Chile,CHL,2020,44446054.0
Chile,CHL,2021,59992795.0
Colombia,COL,1965,0.0
Colombia,COL,1966,0.0
Colombia,COL,1967,0.0
Colombia,COL,1968,0.0
Colombia,COL,1969,0.0
Colombia,COL,1970,0.0
Colombia,COL,1971,0.0
Colombia,COL,1972,0.0
Colombia,COL,1973,0.0
Colombia,COL,1974,0.0
Colombia,COL,1975,0.0
Colombia,COL,1976,0.0
Colombia,COL,1977,0.0
Colombia,COL,1978,0.0
Colombia,COL,1979,0.0
Colombia,COL,1980,0.0
Colombia,COL,1981,0.0
Colombia,COL,1982,0.0
Colombia,COL,1983,0.0
Colombia,COL,1984,0.0
Colombia,COL,1985,0.0
Colombia,COL,1986,0.0
Colombia,COL,1987,0.0
Colombia,COL,1988,0.0
Colombia,COL,1989,0.0
Colombia,COL,1990,0.0
Colombia,COL,1991,0.0
Colombia,COL,1992,0.0
Colombia,COL,1993,0.0
Colombia,COL,1994,0.0
Colombia,COL,1995,0.0
Colombia,COL,1996,0.0
Colombia,COL,1997,0.0
Colombia,COL,1998,0.0
Colombia,COL,1999,0.0
Colombia,COL,2000,0.0017268311
Colombia,COL,2001,0.0025363106
Colombia,COL,2002,0.004408642
Colombia,COL,2003,0.0058253147
Colombia,COL,2004,0.007052876
Colombia,COL,2005,0.008377651
Colombia,COL,2006,0.0
Colombia,COL,2007,0.0
Colombia,COL,2008,0.0
Colombia,COL,2009,0.0
Colombia,COL,2010,0.0
Colombia,COL,2011,0.0
Colombia,COL,2012,0.0
Colombia,COL,2013,0.0
Colombia,COL,2014,0.0
Colombia,COL,2015,0.0
Colombia,COL,2016,0.0
Colombia,COL,2017,0.0026094727
Colombia,COL,2018,0.006106545
Colombia,COL,2019,0.0649473
Colombia,COL,2020,0.10406679
Colombia,COL,2021,0.15540227
Ecuador,ECU,1965,0.0
Ecuador,ECU,1966,0.0
Ecuador,ECU,1967,0.0
Ecuador,ECU,1968,0.0
Ecuador,ECU,1969,0.0
Ecuador,ECU,1970,0.0
Ecuador,ECU,1971,0.0
Ecuador,ECU,1972,0.0
Ecuador,ECU,1973,0.0
Ecuador,ECU,1974,0.0
Ecuador,ECU,1975,0.0
Ecuador,ECU,1976,0.0
Ecuador,ECU,1977,0.0
Ecuador,ECU,1978,0.0
Ecuador,ECU,1979,0.0
Ecuador,ECU,1980,0.0
Ecuador,ECU,1981,0.0
Ecuador,ECU,1982,0.0
Ecuador,ECU,1983,0.0
Ecuador,ECU,1984,0.0
Ecuador,ECU,1985,0.0
Ecuador,ECU,1986,0.0
Ecuador,ECU,1987,0.0
Ecuador,ECU,1988,0.0
Ecuador,ECU,1989,0.0
Ecuador,ECU,1990,0.0
Ecuador,ECU,1991,0.0
Ecuador,ECU,1992,0.0
Ecuador,ECU,1993,0.0
Ecuador,ECU,1994,0.0
Ecuador,ECU,1995,0.0
Ecuador,ECU,1996,0.0
Ecuador,ECU,1997,0.0
Ecuador,ECU,1998,0.0
Ecuador,ECU,1999,0.0
Ecuador,ECU,2000,0.0
Ecuador,ECU,2001,0.0
Ecuador,ECU,2002,0.0
Ecuador,ECU,2003,0.0
Ecuador,ECU,2004,0.0
Ecuador,ECU,2005,2.9451741e-05
Ecuador,ECU,2006,3.306731e-05
Ecuador,ECU,2007,3.8277773e-05
Ecuador,ECU,2008,5.2343195e-05
Ecuador,ECU,2009,1.573619e-05
Ecuador,ECU,2010,0.0
Ecuador,ECU,2011,9.7347904e-05
Ecuador,ECU,2012,0.0005126482
Ecuador,ECU,2013,0.005555272
Ecuador,ECU,2014,0.023680836
Ecuador,ECU,2015,0.051637884
Ecuador,ECU,2016,0.05536069
Ecuador,ECU,2017,0.051265407
Ecuador,ECU,2018,0.048932124
Ecuador,ECU,2019,0.20764291
Ecuador,ECU,2020,0.054384667
Ecuador,ECU,2021,0.045565866
Mexico,MEX,1965,0.0
Mexico,MEX,1966,0.0
Mexico,MEX,1967,0.0
Mexico,MEX,1968,0.0
Mexico,MEX,1969,0.0
Mexico,MEX,1970,0.0
Mexico,MEX,1971,0.0
Mexico,MEX,1972,0.0
Mexico,MEX,1973,0.0
Mexico,MEX,1974,0.0
Mexico,MEX,1975,0.0
Mexico,MEX,1976,0.0
Mexico,MEX,1977,0.0
Mexico,MEX,1978,0.0
Mexico,MEX,1979,0.0
Mexico,MEX,1980,0.0
Mexico,MEX,1981,0.0
Mexico,MEX,1982,0.0
Mexico,MEX,1983,0.0
Mexico,MEX,1984,0.0
Mexico,MEX,1985,0.0
Mexico,MEX,1986,0.0
Mexico,MEX,1987,0.0
Mexico,MEX,1988,0.0
Mexico,MEX,1989,0.0
Mexico,MEX,1990,0.00023135665
Mexico,MEX,1991,0.00044760195
Mexico,MEX,1992,0.00065858365
Mexico,MEX,1993,0.0008750114
Mexico,MEX,1994,0.0010343557
Mexico,MEX,1995,0.0010496932
Mexico,MEX,1996,0.0012220396
Mexico,MEX,1997,0.0012021264
Mexico,MEX,1998,0.0013423045
Mexico,MEX,1999,0.0013244179
Mexico,MEX,2000,0.0012649014
Mexico,MEX,2001,0.0014547548
Mexico,MEX,2002,0.001402138
Mexico,MEX,2003,0.0013813104
Mexico,MEX,2004,0.0014655973
Mexico,MEX,2005,0.0013681365
Mexico,MEX,2006,0.0014637021
Mexico,MEX,2007,0.0013024505
Mexico,MEX,2008,0.0026743375
Mexico,MEX,2009,0.0038110623
Mexico,MEX,2010,0.0042222464
Mexico,MEX,2011,0.005296361
Mexico,MEX,2012,0.008809186
Mexico,MEX,2013,0.013395963
Mexico,MEX,2014,0.027884968
Mexico,MEX,2015,0.025393857
Mexico,MEX,2016,0.031096343
Mexico,MEX,2017,0.14330882
Mexico,MEX,2018,0.3835106
Mexico,MEX,2019,0.922087
Mexico,MEX,2020,1389886.0
Mexico,MEX,2021,16522719.0
Peru,PER,1965,0.0
Peru,PER,1966,0.0
Peru,PER,1967,0.0
Peru,PER,1968,0.0
Peru,PER,1969,0.0
Peru,PER,1970,0.0
Peru,PER,1971,0.0
Peru,PER,1972,0.0
Peru,PER,1973,0.0
Peru,PER,1974,0.0
Peru,PER,1975,0.0
Peru,PER,1976,0.0
Peru,PER,1977,0.0
Peru,PER,1978,0.0
Peru,PER,1979,0.0
Peru,PER,1980,0.0
Peru,PER,1981,0.0
Peru,PER,1982,0.0
Peru,PER,1983,0.0
Peru,PER,1984,0.0
Peru,PER,1985,0.0
Peru,PER,1986,0.0
Peru,PER,1987,0.0
Peru,PER,1988,0.0
Peru,PER,1989,0.0
Peru,PER,1990,0.0
Peru,PER,1991,0.0
Peru,PER,1992,0.0
Peru,PER,1993,0.0
Peru,PER,1994,0.0
Peru,PER,1995,0.0
Peru,PER,1996,0.0
Peru,PER,1997,0.0
Peru,PER,1998,0.0
Peru,PER,1999,0.0
Peru,PER,2000,0.0
Peru,PER,2001,0.0
Peru,PER,2002,0.0
Peru,PER,2003,0.0
Peru,PER,2004,0.0
Peru,PER,2005,0.0
Peru,PER,2006,0.0
Peru,PER,2007,0.0
Peru,PER,2008,0.0
Peru,PER,2009,0.0
Peru,PER,2010,0.0
Peru,PER,2011,0.0
Peru,PER,2012,0.06267729
Peru,PER,2013,0.20101914
Peru,PER,2014,0.1972566
Peru,PER,2015,0.21619594
Peru,PER,2016,0.21076056
Peru,PER,2017,0.27837527
Peru,PER,2018,0.6347929
Peru,PER,2019,0.6426831
Peru,PER,2020,0.7727318
Peru,PER,2021,0.6874456
Venezuela,VEN,1965,0.0
Venezuela,VEN,1966,0.0
Venezuela,VEN,1967,0.0
Venezuela,VEN,1968,0.0
Venezuela,VEN,1969,0.0
Venezuela,VEN,1970,0.0
Venezuela,VEN,1971,0.0
Venezuela,VEN,1972,0.0
Venezuela,VEN,1973,0.0
Venezuela,VEN,1974,0.0
Venezuela,VEN,1975,0.0
Venezuela,VEN,1976,0.0
Venezuela,VEN,1977,0.0
Venezuela,VEN,1978,0.0
Venezuela,VEN,1979,0.0
Venezuela,VEN,1980,0.0
Venezuela,VEN,1981,0.0
Venezuela,VEN,1982,0.0
Venezuela,VEN,1983,0.0
Venezuela,VEN,1984,0.0
Venezuela,VEN,1985,0.0
Venezuela,VEN,1986,0.0
Venezuela,VEN,1987,0.0
Venezuela,VEN,1988,0.0
Venezuela,VEN,1989,0.0
Venezuela,VEN,1990,0.0
Venezuela,VEN,1991,0.0
Venezuela,VEN,1992,0.0
Venezuela,VEN,1993,0.0
Venezuela,VEN,1994,0.0
Venezuela,VEN,1995,0.0
Venezuela,VEN,1996,0.0
Venezuela,VEN,1997,0.0
Venezuela,VEN,1998,0.0
Venezuela,VEN,1999,0.0
Venezuela,VEN,2000,0.0
Venezuela,VEN,2001,0.0
Venezuela,VEN,2002,0.0
Venezuela,VEN,2003,0.0
Venezuela,VEN,2004,0.0
Venezuela,VEN,2005,0.0
Venezuela,VEN,2006,0.0
Venezuela,VEN,2007,0.0
Venezuela,VEN,2008,0.0
Venezuela,VEN,2009,0.0
Venezuela,VEN,2010,0.00072207116
Venezuela,VEN,2011,0.00084772846
Venezuela,VEN,2012,0.0014092599
Venezuela,VEN,2013,0.0014272039
Venezuela,VEN,2014,0.0012831386
Venezuela,VEN,2015,0.001014609
Venezuela,VEN,2016,0.0011590478
Venezuela,VEN,2017,0.0012371612
Venezuela,VEN,2018,0.0014970746
Venezuela,VEN,2019,0.0013975191
Venezuela,VEN,2020,0.0015165611
Venezuela,VEN,2021,0.0014274933
